ACF2,query_mid,sender,rcpt,subject,files,Manager_ACF2,manager_name,job_family,employment_type,business_location,hire_date,employee_status,local_admin,privileged_user,government_cleared,size,rcpt_count,file_count,year,month,day,hour,minute,day_of_year,day_of_week,day_since_hire,rcpt_count_personal_max,rcpt_count_job_max,rcpt_count_personal_percentile,rcpt_count_job_percentile,file_count_personal_max,file_count_job_max,file_count_personal_percentile,file_count_job_percentile,size_personal_max,size_job_max,sub_sensitive_count,files_sensitive_count,files_sensitive_count_personal_max,files_sensitive_count_job_max,files_sensitive_count_personal_percentile,files_sensitive_count_job_percentile,sub_sensitive_count_personal_max,sub_sensitive_count_job_max,sub_sensitive_count_personal_percentile,sub_sensitive_count_job_percentile
XX133,11,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD52,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-11 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX134,12,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD53,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-12 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX135,13,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD54,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-13 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX136,14,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD55,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-14 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX137,15,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD56,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-15 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX138,16,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD57,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-16 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX139,17,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD58,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-17 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX140,18,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD59,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-18 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX141,19,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD60,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-19 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX142,20,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD61,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-20 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX143,21,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD62,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-21 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX144,22,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD63,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-22 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX145,23,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD64,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-23 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX146,24,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD65,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-24 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX147,25,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD66,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-25 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX148,26,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD67,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-26 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX149,27,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD68,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-27 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX150,28,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD69,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-28 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX151,29,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD70,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-29 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX152,30,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD71,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-30 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX153,31,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD72,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-01-31 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX154,32,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD73,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-01 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX155,33,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD74,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-02 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX156,34,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD75,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-03 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX157,35,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD76,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-04 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX158,36,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD77,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-05 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX159,37,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD78,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-06 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX160,38,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD79,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-07 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX161,39,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD80,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-08 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX162,40,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD81,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-09 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX163,41,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD82,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-10 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX164,42,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD83,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-11 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX165,43,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD84,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-12 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX166,44,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD85,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-13 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX167,45,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD86,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-14 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX168,46,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD87,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-15 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX169,47,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD88,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-16 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX170,48,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD89,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-17 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX171,49,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD90,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-18 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX172,50,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD91,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-19 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX173,51,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD92,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-20 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX174,52,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD93,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-21 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX175,53,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD94,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-22 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX176,54,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD95,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-23 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX177,55,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD96,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-24 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX178,56,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD97,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-25 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX179,57,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD98,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-26 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX180,58,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD99,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-27 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX181,59,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD100,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-28 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX182,60,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD101,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-02-29 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX183,61,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD102,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-03-01 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX184,62,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD103,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-03-02 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX185,63,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD104,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-03-03 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX186,64,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD105,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-03-04 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX187,65,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD106,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-03-05 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX188,66,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD107,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-03-06 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
XX189,67,someone@sunlife.com,someone@gmail.com,Data something something,Data something important.pdf,FD108,Someone Else,General Something Management,Regular,Sun Life Financial Canada,2020-03-07 0:00,Active,FALSE,FALSE,FALSE,0.05,1,2,2021,5,18,7,5,138,1,1869,2,32,50,41.73984605,7,34,67.64705882,55.65981875,13440753,76235162,0,0,1,1,47.05882353,42.68925442,1,1,49.01960784,48.95826015
